2019-02-28 05:00:30 startup archives install
2019-02-28 05:00:30 install base-passwd:arm64 <none> 3.5.46
2019-02-28 05:00:30 status half-installed base-passwd:arm64 3.5.46
2019-02-28 05:00:30 status unpacked base-passwd:arm64 3.5.46
2019-02-28 05:00:31 configure base-passwd:arm64 3.5.46 3.5.46
2019-02-28 05:00:31 status half-configured base-passwd:arm64 3.5.46
2019-02-28 05:00:31 status installed base-passwd:arm64 3.5.46
2019-02-28 05:00:32 startup archives install
2019-02-28 05:00:32 install base-files:arm64 <none> 1:2019.1.1
2019-02-28 05:00:32 status half-installed base-files:arm64 1:2019.1.1
2019-02-28 05:00:32 status unpacked base-files:arm64 1:2019.1.1
2019-02-28 05:00:32 configure base-files:arm64 1:2019.1.1 1:2019.1.1
2019-02-28 05:00:33 status half-configured base-files:arm64 1:2019.1.1
2019-02-28 05:00:34 status installed base-files:arm64 1:2019.1.1
2019-02-28 05:00:34 startup archives install
2019-02-28 05:00:34 upgrade dpkg 1.19.5kali1 1.19.5kali1
2019-02-28 05:00:34 status half-configured dpkg 1.19.5kali1
2019-02-28 05:00:34 status unpacked dpkg 1.19.5kali1
2019-02-28 05:00:34 status half-installed dpkg 1.19.5kali1
2019-02-28 05:00:35 status unpacked dpkg:arm64 1.19.5kali1
2019-02-28 05:00:35 configure dpkg:arm64 1.19.5kali1 1.19.5kali1
2019-02-28 05:00:35 status half-configured dpkg:arm64 1.19.5kali1
2019-02-28 05:00:35 status installed dpkg:arm64 1.19.5kali1
2019-02-28 05:00:36 startup archives install
2019-02-28 05:00:36 install libc6:arm64 <none> 2.28-2
2019-02-28 05:00:36 status half-installed libc6:arm64 2.28-2
2019-02-28 05:00:38 status unpacked libc6:arm64 2.28-2
2019-02-28 05:00:38 configure libc6:arm64 2.28-2 2.28-2
2019-02-28 05:00:38 status half-configured libc6:arm64 2.28-2
2019-02-28 05:00:39 status installed libc6:arm64 2.28-2
2019-02-28 05:00:39 startup archives install
2019-02-28 05:00:39 install perl-base:arm64 <none> 5.28.1-4
2019-02-28 05:00:39 status half-installed perl-base:arm64 5.28.1-4
2019-02-28 05:00:40 status unpacked perl-base:arm64 5.28.1-4
2019-02-28 05:00:40 configure perl-base:arm64 5.28.1-4 5.28.1-4
2019-02-28 05:00:40 status half-configured perl-base:arm64 5.28.1-4
2019-02-28 05:00:40 status installed perl-base:arm64 5.28.1-4
2019-02-28 05:00:40 startup archives install
2019-02-28 05:00:41 install mawk:arm64 <none> 1.3.3-17+b3
2019-02-28 05:00:41 status half-installed mawk:arm64 1.3.3-17+b3
2019-02-28 05:00:41 status unpacked mawk:arm64 1.3.3-17+b3
2019-02-28 05:00:41 configure mawk:arm64 1.3.3-17+b3 1.3.3-17+b3
2019-02-28 05:00:41 status half-configured mawk:arm64 1.3.3-17+b3
2019-02-28 05:00:41 status installed mawk:arm64 1.3.3-17+b3
2019-02-28 05:00:41 startup archives install
2019-02-28 05:00:42 install debconf:all <none> 1.5.70
2019-02-28 05:00:42 status half-installed debconf:all 1.5.70
2019-02-28 05:00:42 status unpacked debconf:all 1.5.70
2019-02-28 05:00:42 configure debconf:all 1.5.70 1.5.70
2019-02-28 05:00:42 status half-configured debconf:all 1.5.70
2019-02-28 05:00:43 status installed debconf:all 1.5.70
2019-02-28 05:00:44 startup archives unpack
2019-02-28 05:00:44 install adduser:all <none> 3.118
2019-02-28 05:00:44 status half-installed adduser:all 3.118
2019-02-28 05:00:44 status unpacked adduser:all 3.118
2019-02-28 05:00:45 install apt:arm64 <none> 1.8.0~rc3
2019-02-28 05:00:45 status half-installed apt:arm64 1.8.0~rc3
2019-02-28 05:00:46 status unpacked apt:arm64 1.8.0~rc3
2019-02-28 05:00:46 upgrade base-files:arm64 1:2019.1.1 1:2019.1.1
2019-02-28 05:00:46 status half-configured base-files:arm64 1:2019.1.1
2019-02-28 05:00:46 status unpacked base-files:arm64 1:2019.1.1
2019-02-28 05:00:46 status half-installed base-files:arm64 1:2019.1.1
2019-02-28 05:00:46 status unpacked base-files:arm64 1:2019.1.1
2019-02-28 05:00:47 upgrade base-passwd:arm64 3.5.46 3.5.46
2019-02-28 05:00:47 status half-configured base-passwd:arm64 3.5.46
2019-02-28 05:00:47 status unpacked base-passwd:arm64 3.5.46
2019-02-28 05:00:47 status half-installed base-passwd:arm64 3.5.46
2019-02-28 05:00:47 status unpacked base-passwd:arm64 3.5.46
2019-02-28 05:00:48 install bash:arm64 <none> 5.0-2
2019-02-28 05:00:48 status half-installed bash:arm64 5.0-2
2019-02-28 05:00:48 status unpacked bash:arm64 5.0-2
2019-02-28 05:00:48 install bsdutils:arm64 <none> 1:2.33.1-0.1
2019-02-28 05:00:48 status half-installed bsdutils:arm64 1:2.33.1-0.1
2019-02-28 05:00:49 status unpacked bsdutils:arm64 1:2.33.1-0.1
2019-02-28 05:00:49 install coreutils:arm64 <none> 8.30-1
2019-02-28 05:00:49 status half-installed coreutils:arm64 8.30-1
2019-02-28 05:00:50 status unpacked coreutils:arm64 8.30-1
2019-02-28 05:00:50 install dash:arm64 <none> 0.5.10.2-5
2019-02-28 05:00:50 status half-installed dash:arm64 0.5.10.2-5
2019-02-28 05:00:51 status unpacked dash:arm64 0.5.10.2-5
2019-02-28 05:00:51 upgrade debconf:all 1.5.70 1.5.70
2019-02-28 05:00:51 status half-configured debconf:all 1.5.70
2019-02-28 05:00:51 status unpacked debconf:all 1.5.70
2019-02-28 05:00:51 status half-installed debconf:all 1.5.70
2019-02-28 05:00:52 status unpacked debconf:all 1.5.70
2019-02-28 05:00:52 install debian-archive-keyring:all <none> 2018.1
2019-02-28 05:00:52 status half-installed debian-archive-keyring:all 2018.1
2019-02-28 05:00:53 status unpacked debian-archive-keyring:all 2018.1
2019-02-28 05:00:53 install debianutils:arm64 <none> 4.8.6.1
2019-02-28 05:00:53 status half-installed debianutils:arm64 4.8.6.1
2019-02-28 05:00:53 status unpacked debianutils:arm64 4.8.6.1
2019-02-28 05:00:53 install diffutils:arm64 <none> 1:3.6-1
2019-02-28 05:00:53 status half-installed diffutils:arm64 1:3.6-1
2019-02-28 05:00:54 status unpacked diffutils:arm64 1:3.6-1
2019-02-28 05:00:54 upgrade dpkg:arm64 1.19.5kali1 1.19.5kali1
2019-02-28 05:00:54 status half-configured dpkg:arm64 1.19.5kali1
2019-02-28 05:00:54 status unpacked dpkg:arm64 1.19.5kali1
2019-02-28 05:00:54 status half-installed dpkg:arm64 1.19.5kali1
2019-02-28 05:00:55 status unpacked dpkg:arm64 1.19.5kali1
2019-02-28 05:00:55 install e2fsprogs:arm64 <none> 1.44.5-1
2019-02-28 05:00:55 status half-installed e2fsprogs:arm64 1.44.5-1
2019-02-28 05:00:56 status unpacked e2fsprogs:arm64 1.44.5-1
2019-02-28 05:00:56 install fdisk:arm64 <none> 2.33.1-0.1
2019-02-28 05:00:56 status half-installed fdisk:arm64 2.33.1-0.1
2019-02-28 05:00:56 status unpacked fdisk:arm64 2.33.1-0.1
2019-02-28 05:00:57 install findutils:arm64 <none> 4.6.0+git+20190209-2
2019-02-28 05:00:57 status half-installed findutils:arm64 4.6.0+git+20190209-2
2019-02-28 05:00:57 status unpacked findutils:arm64 4.6.0+git+20190209-2
2019-02-28 05:00:57 install gcc-8-base:arm64 <none> 8.2.0-21
2019-02-28 05:00:57 status half-installed gcc-8-base:arm64 8.2.0-21
2019-02-28 05:00:57 status unpacked gcc-8-base:arm64 8.2.0-21
2019-02-28 05:00:58 install gpgv:arm64 <none> 2.2.12-1
2019-02-28 05:00:58 status half-installed gpgv:arm64 2.2.12-1
2019-02-28 05:00:58 status unpacked gpgv:arm64 2.2.12-1
2019-02-28 05:00:58 install grep:arm64 <none> 3.3-1
2019-02-28 05:00:58 status half-installed grep:arm64 3.3-1
2019-02-28 05:00:58 status unpacked grep:arm64 3.3-1
2019-02-28 05:00:59 install gzip:arm64 <none> 1.9-3
2019-02-28 05:00:59 status half-installed gzip:arm64 1.9-3
2019-02-28 05:00:59 status unpacked gzip:arm64 1.9-3
2019-02-28 05:00:59 install hostname:arm64 <none> 3.21
2019-02-28 05:00:59 status half-installed hostname:arm64 3.21
2019-02-28 05:00:59 status unpacked hostname:arm64 3.21
2019-02-28 05:01:00 install init-system-helpers:all <none> 1.56+nmu1kali1
2019-02-28 05:01:00 status half-installed init-system-helpers:all 1.56+nmu1kali1
2019-02-28 05:01:00 status unpacked init-system-helpers:all 1.56+nmu1kali1
2019-02-28 05:01:00 install libacl1:arm64 <none> 2.2.52-5
2019-02-28 05:01:00 status half-installed libacl1:arm64 2.2.52-5
2019-02-28 05:01:02 status unpacked libacl1:arm64 2.2.52-5
2019-02-28 05:01:02 install libapt-pkg5.0:arm64 <none> 1.8.0~rc3
2019-02-28 05:01:02 status half-installed libapt-pkg5.0:arm64 1.8.0~rc3
2019-02-28 05:01:03 status unpacked libapt-pkg5.0:arm64 1.8.0~rc3
2019-02-28 05:01:03 install libattr1:arm64 <none> 1:2.4.47-4
2019-02-28 05:01:03 status half-installed libattr1:arm64 1:2.4.47-4
2019-02-28 05:01:03 status unpacked libattr1:arm64 1:2.4.47-4
2019-02-28 05:01:03 install libaudit-common:all <none> 1:2.8.4-2
2019-02-28 05:01:03 status half-installed libaudit-common:all 1:2.8.4-2
2019-02-28 05:01:04 status unpacked libaudit-common:all 1:2.8.4-2
2019-02-28 05:01:04 install libaudit1:arm64 <none> 1:2.8.4-2
2019-02-28 05:01:04 status half-installed libaudit1:arm64 1:2.8.4-2
2019-02-28 05:01:04 status unpacked libaudit1:arm64 1:2.8.4-2
2019-02-28 05:01:05 install libblkid1:arm64 <none> 2.33.1-0.1
2019-02-28 05:01:05 status half-installed libblkid1:arm64 2.33.1-0.1
2019-02-28 05:01:05 status unpacked libblkid1:arm64 2.33.1-0.1
2019-02-28 05:01:05 install libbz2-1.0:arm64 <none> 1.0.6-9
2019-02-28 05:01:05 status half-installed libbz2-1.0:arm64 1.0.6-9
2019-02-28 05:01:06 status unpacked libbz2-1.0:arm64 1.0.6-9
2019-02-28 05:01:06 install libc-bin:arm64 <none> 2.28-2
2019-02-28 05:01:06 status half-installed libc-bin:arm64 2.28-2
2019-02-28 05:01:06 status unpacked libc-bin:arm64 2.28-2
2019-02-28 05:01:07 upgrade libc6:arm64 2.28-2 2.28-2
2019-02-28 05:01:07 status half-configured libc6:arm64 2.28-2
2019-02-28 05:01:07 status unpacked libc6:arm64 2.28-2
2019-02-28 05:01:07 status half-installed libc6:arm64 2.28-2
2019-02-28 05:01:09 status unpacked libc6:arm64 2.28-2
2019-02-28 05:01:10 install libcap-ng0:arm64 <none> 0.7.9-2
2019-02-28 05:01:10 status half-installed libcap-ng0:arm64 0.7.9-2
2019-02-28 05:01:10 status unpacked libcap-ng0:arm64 0.7.9-2
2019-02-28 05:01:10 install libcom-err2:arm64 <none> 1.44.5-1
2019-02-28 05:01:10 status half-installed libcom-err2:arm64 1.44.5-1
2019-02-28 05:01:11 status unpacked libcom-err2:arm64 1.44.5-1
2019-02-28 05:01:11 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.3
2019-02-28 05:01:11 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.3
2019-02-28 05:01:11 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.3
2019-02-28 05:01:12 install libdebconfclient0:arm64 <none> 0.247
2019-02-28 05:01:12 status half-installed libdebconfclient0:arm64 0.247
2019-02-28 05:01:12 status unpacked libdebconfclient0:arm64 0.247
2019-02-28 05:01:12 install libext2fs2:arm64 <none> 1.44.5-1
2019-02-28 05:01:12 status half-installed libext2fs2:arm64 1.44.5-1
2019-02-28 05:01:13 status unpacked libext2fs2:arm64 1.44.5-1
2019-02-28 05:01:13 install libfdisk1:arm64 <none> 2.33.1-0.1
2019-02-28 05:01:13 status half-installed libfdisk1:arm64 2.33.1-0.1
2019-02-28 05:01:13 status unpacked libfdisk1:arm64 2.33.1-0.1
2019-02-28 05:01:14 install libffi6:arm64 <none> 3.2.1-9
2019-02-28 05:01:14 status half-installed libffi6:arm64 3.2.1-9
2019-02-28 05:01:14 status unpacked libffi6:arm64 3.2.1-9
2019-02-28 05:01:14 install libgcc1:arm64 <none> 1:8.2.0-21
2019-02-28 05:01:14 status half-installed libgcc1:arm64 1:8.2.0-21
2019-02-28 05:01:15 status unpacked libgcc1:arm64 1:8.2.0-21
2019-02-28 05:01:15 install libgcrypt20:arm64 <none> 1.8.4-5
2019-02-28 05:01:15 status half-installed libgcrypt20:arm64 1.8.4-5
2019-02-28 05:01:15 status unpacked libgcrypt20:arm64 1.8.4-5
2019-02-28 05:01:16 install libgmp10:arm64 <none> 2:6.1.2+dfsg-4
2019-02-28 05:01:16 status half-installed libgmp10:arm64 2:6.1.2+dfsg-4
2019-02-28 05:01:16 status unpacked libgmp10:arm64 2:6.1.2+dfsg-4
2019-02-28 05:01:16 install libgnutls30:arm64 <none> 3.6.6-2
2019-02-28 05:01:16 status half-installed libgnutls30:arm64 3.6.6-2
2019-02-28 05:01:17 status unpacked libgnutls30:arm64 3.6.6-2
2019-02-28 05:01:17 install libgpg-error0:arm64 <none> 1.35-1
2019-02-28 05:01:17 status half-installed libgpg-error0:arm64 1.35-1
2019-02-28 05:01:17 status unpacked libgpg-error0:arm64 1.35-1
2019-02-28 05:01:18 install libhogweed4:arm64 <none> 3.4.1-1
2019-02-28 05:01:18 status half-installed libhogweed4:arm64 3.4.1-1
2019-02-28 05:01:18 status unpacked libhogweed4:arm64 3.4.1-1
2019-02-28 05:01:18 install libidn2-0:arm64 <none> 2.0.5-1
2019-02-28 05:01:18 status half-installed libidn2-0:arm64 2.0.5-1
2019-02-28 05:01:19 status unpacked libidn2-0:arm64 2.0.5-1
2019-02-28 05:01:19 install liblz4-1:arm64 <none> 1.8.3-1
2019-02-28 05:01:19 status half-installed liblz4-1:arm64 1.8.3-1
2019-02-28 05:01:19 status unpacked liblz4-1:arm64 1.8.3-1
2019-02-28 05:01:20 install liblzma5:arm64 <none> 5.2.4-1
2019-02-28 05:01:20 status half-installed liblzma5:arm64 5.2.4-1
2019-02-28 05:01:20 status unpacked liblzma5:arm64 5.2.4-1
2019-02-28 05:01:20 install libmount1:arm64 <none> 2.33.1-0.1
2019-02-28 05:01:20 status half-installed libmount1:arm64 2.33.1-0.1
2019-02-28 05:01:21 status unpacked libmount1:arm64 2.33.1-0.1
2019-02-28 05:01:21 install libncursesw6:arm64 <none> 6.1+20181013-2
2019-02-28 05:01:21 status half-installed libncursesw6:arm64 6.1+20181013-2
2019-02-28 05:01:21 status unpacked libncursesw6:arm64 6.1+20181013-2
2019-02-28 05:01:22 install libnettle6:arm64 <none> 3.4.1-1
2019-02-28 05:01:22 status half-installed libnettle6:arm64 3.4.1-1
2019-02-28 05:01:22 status unpacked libnettle6:arm64 3.4.1-1
2019-02-28 05:01:22 install libp11-kit0:arm64 <none> 0.23.15-2
2019-02-28 05:01:22 status half-installed libp11-kit0:arm64 0.23.15-2
2019-02-28 05:01:23 status unpacked libp11-kit0:arm64 0.23.15-2
2019-02-28 05:01:23 install libpam-modules:arm64 <none> 1.3.1-5
2019-02-28 05:01:23 status half-installed libpam-modules:arm64 1.3.1-5
2019-02-28 05:01:24 status unpacked libpam-modules:arm64 1.3.1-5
2019-02-28 05:01:24 install libpam-modules-bin:arm64 <none> 1.3.1-5
2019-02-28 05:01:24 status half-installed libpam-modules-bin:arm64 1.3.1-5
2019-02-28 05:01:24 status unpacked libpam-modules-bin:arm64 1.3.1-5
2019-02-28 05:01:25 install libpam-runtime:all <none> 1.3.1-5
2019-02-28 05:01:25 status half-installed libpam-runtime:all 1.3.1-5
2019-02-28 05:01:25 status unpacked libpam-runtime:all 1.3.1-5
2019-02-28 05:01:26 install libpam0g:arm64 <none> 1.3.1-5
2019-02-28 05:01:26 status half-installed libpam0g:arm64 1.3.1-5
2019-02-28 05:01:26 status unpacked libpam0g:arm64 1.3.1-5
2019-02-28 05:01:26 install libpcre3:arm64 <none> 2:8.39-11
2019-02-28 05:01:27 status half-installed libpcre3:arm64 2:8.39-11
2019-02-28 05:01:27 status unpacked libpcre3:arm64 2:8.39-11
2019-02-28 05:01:27 install libseccomp2:arm64 <none> 2.3.3-4
2019-02-28 05:01:27 status half-installed libseccomp2:arm64 2.3.3-4
2019-02-28 05:01:28 status unpacked libseccomp2:arm64 2.3.3-4
2019-02-28 05:01:28 install libselinux1:arm64 <none> 2.8-1+b1
2019-02-28 05:01:28 status half-installed libselinux1:arm64 2.8-1+b1
2019-02-28 05:01:28 status unpacked libselinux1:arm64 2.8-1+b1
2019-02-28 05:01:28 install libsemanage-common:all <none> 2.8-2
2019-02-28 05:01:28 status half-installed libsemanage-common:all 2.8-2
2019-02-28 05:01:29 status unpacked libsemanage-common:all 2.8-2
2019-02-28 05:01:29 install libsemanage1:arm64 <none> 2.8-2
2019-02-28 05:01:29 status half-installed libsemanage1:arm64 2.8-2
2019-02-28 05:01:29 status unpacked libsemanage1:arm64 2.8-2
2019-02-28 05:01:30 install libsepol1:arm64 <none> 2.8-1
2019-02-28 05:01:30 status half-installed libsepol1:arm64 2.8-1
2019-02-28 05:01:30 status unpacked libsepol1:arm64 2.8-1
2019-02-28 05:01:30 install libsmartcols1:arm64 <none> 2.33.1-0.1
2019-02-28 05:01:30 status half-installed libsmartcols1:arm64 2.33.1-0.1
2019-02-28 05:01:31 status unpacked libsmartcols1:arm64 2.33.1-0.1
2019-02-28 05:01:31 install libss2:arm64 <none> 1.44.5-1
2019-02-28 05:01:31 status half-installed libss2:arm64 1.44.5-1
2019-02-28 05:01:31 status unpacked libss2:arm64 1.44.5-1
2019-02-28 05:01:32 install libstdc++6:arm64 <none> 8.2.0-21
2019-02-28 05:01:32 status half-installed libstdc++6:arm64 8.2.0-21
2019-02-28 05:01:32 status unpacked libstdc++6:arm64 8.2.0-21
2019-02-28 05:01:32 install libsystemd0:arm64 <none> 240-6
2019-02-28 05:01:32 status half-installed libsystemd0:arm64 240-6
2019-02-28 05:01:33 status unpacked libsystemd0:arm64 240-6
2019-02-28 05:01:33 install libtasn1-6:arm64 <none> 4.13-3
2019-02-28 05:01:33 status half-installed libtasn1-6:arm64 4.13-3
2019-02-28 05:01:33 status unpacked libtasn1-6:arm64 4.13-3
2019-02-28 05:01:34 install libtext-charwidth-perl:arm64 <none> 0.04-7.1+b1
2019-02-28 05:01:34 status half-installed libtext-charwidth-perl:arm64 0.04-7.1+b1
2019-02-28 05:01:34 status unpacked libtext-charwidth-perl:arm64 0.04-7.1+b1
